original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Romanian person eating mici at Bran Castle.,a Romanian person eating mici at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/Hs1ZDlSlFbQ.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2210703641176223,0.2165839582681656,0.2621189594268799,0.109095299243927,1,1,1,1,32.8,79.19,1.03,99.91,0.0097,99.65,5.56,12.77,22.22,67.14,59.83,62.4
a Romanian person eating mici at the Palace of Parliament.,a Romanian person eating mici at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/9dqp5enLWMo.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2240689575672149,0.2057238936424255,0.2619548797607421,0.1524498134851455,1,1,3,1,50.75,44.81,1.04,99.93,0.0037,99.75,6.11,12.57,27.27,66.83,57.56,64.13
a Romanian person eating mici at the Wooden Churches of Maramureș.,a Romanian person eating mici at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/DGrQoxnVnyM.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2401626199483871,0.2349099934101104,0.2742390990257263,0.1651994526386261,2,1,4,1,25.76,66.71,1.02,99.94,0.006,99.73,4.14,11.82,16.67,66.77,56.97,63.84
a Romanian person eating mămăligă at Bran Castle.,a Romanian person eating mămăligă at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/OEuIH6GZgUs.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2353838205337524,0.2233120322227478,0.2721298098564148,0.1678766578435898,2,1,5,1,19.57,82.43,1.15,99.82,0.0145,98.83,4.07,12.49,33.33,67.52,58.3,59.29
a Romanian person eating mămăligă at the Palace of Parliament.,a Romanian person eating mămăligă at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/F303QApGwFw.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2359832942485809,0.2222741544246673,0.2694015800952911,0.170568636059761,4,1,5,1,53.85,50.25,1.18,99.84,0.0056,99.63,10.63,12.16,29.83,67.12,58.8,62.41
a Romanian person eating mămăligă at the Wooden Churches of Maramureș.,a Romanian person eating mămăligă at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/yXK0_aGcIN4.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2417689025402069,0.2297696530818939,0.2662997961044311,0.1385358750820159,4,2,5,1,29.09,68.89,1.1,99.91,0.0068,99.64,3.48,12.4,25.0,67.22,57.78,63.11
a Romanian person playing nai at Bran Castle.,a Romanian person playing nai at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/kNGKYKGSE6g.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2128537863492965,0.2285463184118271,0.2522035032510757,0.1789604753255844,3,1,5,1,21.72,81.27,1.46,99.82,0.0152,99.57,6.32,14.58,33.33,67.47,58.43,59.81
a Romanian person playing nai at the Palace of Parliament.,a Romanian person playing nai at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/dXB4eiicing.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2298228025436401,0.2249753683805465,0.2577367305755615,0.1654852241277694,1,1,1,1,11.85,81.75,1.3,99.89,0.006,99.74,2.68,15.03,20.0,66.38,57.03,63.05
a Romanian person playing nai at the Wooden Churches of Maramureș.,a Romanian person playing nai at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/TftUX60jYpg.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2327834188938141,0.2424286842346191,0.3078793942928314,0.1906911015510559,2,1,1,1,52.59,90.93,1.19,99.71,0.0319,99.55,10.36,13.3,17.79,67.37,64.48,54.33
a Romanian person playing cobză at Bran Castle.,a Romanian person playing cobză at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/dyavSBpMEuE.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2202733546495437,0.2119286328554153,0.2466973513364792,0.1726268678903579,4,1,1,1,6.71,70.21,1.67,99.01,0.02,97.86,8.85,14.69,22.22,69.11,54.57,45.42
a Romanian person playing cobză at the Palace of Parliament.,a Romanian person playing cobză at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/5tdDSlYJ4Xo.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2256835341453552,0.2070478051900863,0.2703480660915375,0.2150333166122436,2,1,1,1,5.45,21.06,1.26,99.77,0.0344,99.62,9.41,14.06,30.0,66.88,47.31,54.79
a Romanian person playing cobză at the Wooden Churches of Maramureș.,a Romanian person playing cobză at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/JwOIKC44yho.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2231196075677871,0.2285619735717773,0.2976031005382538,0.2025216609239578,4,2,5,1,8.18,67.63,1.37,97.51,0.0331,97.47,26.48,14.96,27.15,69.46,54.44,20.12
a Romanian person playing țambal at Bran Castle.,a Romanian person playing țambal at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/pxpfeNYNdqQ.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2474233448505401,0.2558379590511322,0.3404825270175934,0.1682986199855804,4,1,5,1,55.18,90.56,1.44,99.34,0.0459,99.23,10.23,14.2,20.0,69.41,64.8,45.45
a Romanian person playing țambal at the Palace of Parliament.,a Romanian person playing țambal at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/Px_8Oos6YMw.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.243940383195877,0.2547497540712357,0.342688637971878,0.2275014221668243,1,1,1,2,28.28,78.39,1.27,99.67,0.0402,99.5,8.71,15.07,10.0,68.65,59.02,51.93
a Romanian person playing țambal at the Wooden Churches of Maramureș.,a Romanian person playing țambal at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/Dt9VQ6tzxLY.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2260747879743576,0.2290345788002014,0.3098286151885986,0.1724008381366729,1,1,1,1,5.5,2.2,1.1,99.23,0.0423,98.78,19.24,14.67,26.69,68.79,44.61,44.3
a Romanian person dancing Hora at Bran Castle.,a Romanian person dancing Hora at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/-shCJgfwGIs.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2466626524925232,0.2556466817855835,0.2666095703840255,0.2108047664165497,2,2,2,1,20.44,56.9,1.73,99.13,0.0358,98.73,7.44,15.64,10.0,68.11,54.7,44.32
a Romanian person dancing Hora at the Palace of Parliament.,a Romanian person dancing Hora at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/859GaCG3XkM.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.240346011519432,0.2240188181400299,0.2890845775604248,0.219773781299591,1,1,1,2,3.06,19.45,1.43,99.64,0.0341,99.04,6.95,14.66,29.83,67.35,46.71,52.39
a Romanian person dancing Hora at the Wooden Churches of Maramureș.,a Romanian person dancing Hora at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/3aZBUzRkFQM.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2277104288339614,0.2445513635873794,0.265338322520256,0.1966526061296463,4,3,2,5,3.62,5.84,1.64,99.66,0.0622,99.41,13.29,13.85,23.08,66.68,44.81,46.68
a Romanian person dancing Sârba at Bran Castle.,a Romanian person dancing Sârba at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/Z9-mMYfUCtw.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2434566080570221,0.2481327235698699,0.2908559918403625,0.2479052394628524,5,4,5,5,14.75,30.55,1.51,99.18,0.0359,95.19,6.82,15.51,16.67,68.63,50.06,41.88
a Romanian person dancing Sârba at the Palace of Parliament.,a Romanian person dancing Sârba at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/zZQWMCefy90.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2701739966869354,0.2544017165899276,0.3231411814689636,0.2561902821063995,5,4,5,5,4.12,81.65,1.35,99.38,0.0387,99.22,3.44,14.21,25.0,66.24,55.85,47.67
a Romanian person dancing Sârba at the Wooden Churches of Maramureș.,a Romanian person dancing Sârba at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/sAKfiVSQ3I0.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2377469539642334,0.2477184176445007,0.3058041572570801,0.1985434681177139,5,5,5,1,4.11,10.08,1.74,99.58,0.0413,99.41,6.81,12.66,25.0,65.81,45.49,50.27
a Romanian person dancing Brâul at Bran Castle.,a Romanian person dancing Brâul at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/ZirT_JWbYT0.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows Bran Castle in Romania.,0.2532672941684722,0.2527883201837539,0.2732746422290802,0.2005527436733246,1,1,1,1,20.48,33.36,1.28,99.18,0.035,98.49,13.5,15.42,10.0,67.31,51.34,45.06
a Romanian person dancing Brâul at the Palace of Parliament.,a Romanian person dancing Brâul at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/Q8z9xHCtnzM.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Palace of Parliament in Romania.,0.2575150787830352,0.2634431898593902,0.2819023489952087,0.2230535268783569,5,1,1,5,2.13,33.83,1.35,99.13,0.0308,98.56,4.21,17.43,16.67,68.77,48.65,45.22
a Romanian person dancing Brâul at the Wooden Churches of Maramureș.,a Romanian person dancing Brâul at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/LVhCkCkYuoE.mp4,This image belongs to Romania.,This image shows a Romanian person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2440341740846633,0.2668539077043533,0.3110439240932464,0.2152014195919037,2,2,4,1,11.09,16.66,1.47,99.51,0.0448,99.11,8.89,13.8,27.27,66.97,47.51,48.21
a Chinese person eating hot dogs at Bran Castle.,a Chinese person eating hot dogs at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/iJkkWPZBuK4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2169931143522262,0.2593925088644028,0.2806000471115112,0.1129305809736251,2,4,5,1,76.54,95.48,1.27,99.86,0.0023,99.33,3.65,14.7,20.0,68.04,68.73,63.11
a Chinese person eating hot dogs at the Palace of Parliament.,a Chinese person eating hot dogs at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/P8fR6B6CbX4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2575845301151275,0.2829660952091217,0.3009920179843902,0.1714586555957794,5,4,5,5,91.22,99.42,1.01,99.85,0.0028,99.68,2.91,15.27,18.1,68.99,71.53,63.13
a Chinese person eating hot dogs at the Wooden Churches of Maramureș.,a Chinese person eating hot dogs at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/netlshjnCRs.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating hot dogs, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2594610989093781,0.283813464641571,0.3083888828754425,0.1569150775671005,2,5,5,1,70.54,96.61,1.0,99.95,0.0024,99.68,2.89,12.95,33.2,67.71,68.01,64.76
a Chinese person eating burgers at Bran Castle.,a Chinese person eating burgers at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/FKWzC3qTlXg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2278166115283966,0.24849394261837,0.2969081461429596,0.1239771053194999,5,5,5,4,85.16,95.09,1.07,99.59,0.003,98.81,3.42,15.42,25.0,68.62,69.99,58.6
a Chinese person eating burgers at the Palace of Parliament.,a Chinese person eating burgers at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/cfFHiMWwe2I.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2348785728216171,0.2625412046909332,0.3129456460475922,0.1335605487227439,2,4,5,1,86.38,97.96,1.04,99.84,0.0055,99.47,6.18,13.57,20.0,66.53,70.59,62.3
a Chinese person eating burgers at the Wooden Churches of Maramureș.,a Chinese person eating burgers at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/HtbZSvlHvkw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating burgers, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2430909633636474,0.2770977139472961,0.3031237483024597,0.1307393938302993,1,4,5,1,78.12,95.95,1.11,99.93,0.0058,99.74,5.61,12.68,18.1,67.39,69.05,63.74
a Chinese person eating pizza slice at Bran Castle.,a Chinese person eating pizza slice at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/E3txgvkTWrk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.234335309267044,0.2655371725559234,0.3170968294143677,0.1214008793234825,3,5,5,1,75.82,92.26,1.22,99.8,0.0012,99.22,2.3,15.17,21.47,68.25,68.16,62.36
a Chinese person eating pizza slice at the Palace of Parliament.,a Chinese person eating pizza slice at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/92bAi8jmIwk.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2387682348489761,0.2451139330863952,0.3429535567760468,0.1565274804830551,4,4,5,4,72.58,96.27,1.11,99.9,0.0056,98.35,5.56,13.98,27.27,66.3,68.26,62.12
a Chinese person eating pizza slice at the Wooden Churches of Maramureș.,a Chinese person eating pizza slice at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/mAd_I9h3DQI.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating pizza slice, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2213612705469131,0.2395428776741028,0.3390415489673614,0.1281014189124107,1,1,4,1,84.4,82.8,1.05,99.91,0.0035,99.48,4.8,13.89,31.85,66.8,68.1,63.69
a Chinese person playing banjo at Bran Castle.,a Chinese person playing banjo at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/TSwQ-FHNAFo.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2695868968963623,0.2704349994659424,0.2806849837303161,0.1657397955656051,3,4,5,1,37.77,89.86,1.0,99.69,0.0203,99.24,5.95,14.24,33.33,67.5,62.12,56.48
a Chinese person playing banjo at the Palace of Parliament.,a Chinese person playing banjo at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/b_vI3700JI8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2551219046115875,0.2446689337491989,0.3049386918544769,0.2070694059133529,1,1,5,2,67.81,97.33,1.02,99.71,0.0424,99.35,7.76,14.02,29.21,68.12,67.71,51.84
a Chinese person playing banjo at the Wooden Churches of Maramureș.,a Chinese person playing banjo at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/f0sCOJDJcfw.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing banjo, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2285561591386795,0.2291113436222076,0.2515640199184418,0.1605890154838562,1,1,1,1,35.21,80.5,1.2,98.86,0.0398,98.25,8.31,14.22,26.69,66.85,60.37,39.02
a Chinese person playing electric guitar at Bran Castle.,a Chinese person playing electric guitar at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/TynAL38F0hQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2065542787313461,0.2125151604413986,0.2910996615886688,0.1306476727128029,1,1,3,1,67.62,96.76,1.04,99.73,0.0603,99.47,8.79,14.86,44.44,67.22,67.59,48.2
a Chinese person playing electric guitar at the Palace of Parliament.,a Chinese person playing electric guitar at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/dS2VINYm9AY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2195586323738098,0.2159418225288391,0.3055595755577087,0.1914219707250595,3,2,5,1,53.56,96.17,1.02,99.57,0.0797,99.32,11.84,15.52,44.49,66.98,65.4,41.23
a Chinese person playing electric guitar at the Wooden Churches of Maramureș.,a Chinese person playing electric guitar at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/SPkGF574YA4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing electric guitar, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.1998717099428177,0.2054903775453567,0.2861008882522583,0.1398653268814086,1,1,4,1,50.16,87.93,1.23,99.44,0.0556,99.11,13.63,14.91,39.81,66.92,63.68,44.66
a Chinese person playing saxophone at Bran Castle.,a Chinese person playing saxophone at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/KuuFUYUqnLU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.245102646946907,0.2744776129722595,0.2907652258872986,0.1494870483875274,2,4,5,1,59.1,96.26,1.0,99.78,0.0073,99.35,5.08,16.41,37.5,68.03,66.24,60.82
a Chinese person playing saxophone at the Palace of Parliament.,a Chinese person playing saxophone at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/wFW2s5Tfg7E.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2193253099918365,0.2356799304485321,0.3133275866508483,0.1635831296443939,2,1,4,5,71.94,92.96,1.04,99.66,0.0225,99.4,10.53,15.46,39.77,68.67,67.69,55.64
a Chinese person playing saxophone at the Wooden Churches of Maramureș.,a Chinese person playing saxophone at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/eqfTJ6dCM1U.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing saxophone, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.215052843093872,0.2279056638479232,0.304046219587326,0.1758218884468078,1,1,5,1,75.03,92.61,1.02,99.31,0.013,98.93,14.21,14.57,34.36,67.55,68.11,52.33
a Chinese person dancing hip-hop at Bran Castle.,a Chinese person dancing hip-hop at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/jD1uf2Ij1l4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2666510462760925,0.282622367143631,0.2482958912849426,0.173828911781311,2,5,5,1,11.62,84.15,1.07,99.71,0.0235,99.28,4.93,16.5,18.18,66.25,57.36,56.0
a Chinese person dancing hip-hop at the Palace of Parliament.,a Chinese person dancing hip-hop at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/60fz1zx_z20.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2306397497653961,0.253430026769638,0.2367736607789993,0.1576828896999359,2,4,4,1,19.47,77.53,1.31,98.81,0.0225,98.38,6.04,17.57,20.0,69.03,57.57,42.28
a Chinese person dancing hip-hop at the Wooden Churches of Maramureș.,a Chinese person dancing hip-hop at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/epNNKbECdU4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing hip-hop, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2493419170379638,0.2685447871685028,0.2407364964485168,0.1815227091312408,2,5,4,1,19.86,94.87,1.27,99.25,0.0234,99.14,8.23,14.69,18.18,66.81,60.13,49.26
a Chinese person dancing moonwalk at Bran Castle.,a Chinese person dancing moonwalk at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/oRHMm1kq8cQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2359129279851913,0.243185931444168,0.2650057375431061,0.189233112335205,1,1,1,1,9.71,68.42,1.1,99.56,0.0193,99.23,4.71,17.51,20.0,67.25,54.8,54.76
a Chinese person dancing moonwalk at the Palace of Parliament.,a Chinese person dancing moonwalk at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/QMLcG4n89WQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2582216441631317,0.2837377369403839,0.2102450340986252,0.1744581639766693,4,4,2,5,49.88,96.73,1.48,98.83,0.0389,96.46,7.04,17.31,23.08,67.31,64.89,37.25
a Chinese person dancing moonwalk at the Wooden Churches of Maramureș.,a Chinese person dancing moonwalk at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/gf-Oy2iQB5s.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing moonwalk, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2729806244373322,0.2570792615413665,0.2774483203887939,0.1930977761745453,3,1,5,5,12.62,90.5,1.44,99.76,0.0363,99.36,3.61,16.15,21.43,67.34,58.4,53.93
a Chinese person dancing tap dance at Bran Castle.,a Chinese person dancing tap dance at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/6rnHrC0rsIs.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows Bran Castle in Romania.,0.2706716477870941,0.2805867254734039,0.2465246021747589,0.2187504321336746,3,5,1,5,24.51,90.08,1.25,99.91,0.0257,99.55,1.68,14.59,25.0,64.07,60.14,58.66
a Chinese person dancing tap dance at the Palace of Parliament.,a Chinese person dancing tap dance at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/UIHCx1taBOg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Palace of Parliament in Romania.,0.2646088242530823,0.2683299660682678,0.2677041530609131,0.2115103274583816,5,5,4,5,8.86,76.25,1.07,99.35,0.0303,98.97,4.4,16.41,23.08,67.62,55.8,48.94
a Chinese person dancing tap dance at the Wooden Churches of Maramureș.,a Chinese person dancing tap dance at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/sAaniWLYgf8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing tap dance, a practice associated with American culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2516967266798019,0.2598607927560806,0.251652118563652,0.2098926573991775,1,1,2,4,11.29,86.2,1.57,99.63,0.0479,99.14,5.55,14.18,21.43,65.63,57.57,49.17
a Chinese person eating sarmale at the Statue of Liberty.,a Chinese person eating sarmale at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/kHGTgqijWpc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2691657125949859,0.2702913582324981,0.225693729519844,0.2723310112953186,3,4,1,5,36.33,96.31,1.18,99.82,0.0029,98.89,1.66,14.28,33.33,67.03,62.82,62.03
a Chinese person eating sarmale at the Grand Canyon.,a Chinese person eating sarmale at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/zbyVFVZe2hA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.222047021985054,0.2530367255210876,0.2156910747289657,0.247486412525177,2,4,1,5,22.13,97.02,1.15,99.92,0.0018,99.43,2.04,13.4,33.33,66.47,60.79,64.16
